No,code,player_win,player_lose,position_win,wlA,wl1,wl2,wl3,llA,ll1,ll2,ll3,ww1,ww2,ww3,ww4,ww5,ww6,ww7,ww8,lw1,lw2,lw3,lw4,lw5,lw6,lw7,lw8
1,TEKOLENA,Aluk,Cleveer,1,埃及艳后,诺查丹玛斯,库克,丘吉尔,孔子,古藤堡,巴赫,甘地,雅典卫城,丝绸之路,克里姆林宫,0,0,0,0,0,斗兽场,大教堂,好莱坞,0,0,0,0,0
2,SOKOLENA,Martin_Pecheur,Aluk,0,荷马,成吉思汗,罗伯斯比尔,黛德丽,埃及艳后,埃莉诺,拿破仑,爱因斯坦,大教堂,远洋游轮,好莱坞,0,0,0,0,0,巨石阵,姬路城,红十字会,0,0,0,0,0
3,JIFOLENA,Dazzy,Martin_Pecheur,0,孔子,伊莎贝拉,库克,无,埃及艳后,成吉思汗,巴赫,丘吉尔,马丘比丘,大教堂,苏伊士运河,哈佛大学,帝国大厦,0,0,0,姬路城,远洋游轮,好莱坞,0,0,0,0,0
4,RUFOLENA,fu1luo,Dazzy,0,孔子,诺查丹玛斯,牛顿,无,荷马,杰士卡,库克,爱因斯坦,空中花园,姬路城,好莱坞,0,0,0,0,0,大图书馆,泰姬陵,苏伊士运河,联合国,0,0,0,0
5,TOFOLENA,Martin_Pecheur,xuxu,0,大帝,诺查丹玛斯,拿破仑,丘吉尔,摩西,杰士卡,诺贝尔,比尔盖茨,姬路城,红十字会,0,0,0,0,0,0,斗兽场,埃菲尔铁塔,联合国,0,0,0,0,0
6,MESOLENA,Dazzy,xuxu,1,孔子,圣女贞德,诺贝尔,丘吉尔,大帝,古藤堡,莎士比亚,无,大图书馆,泰姬陵,首飞,0,0,0,0,0,罗马大道,0,0,0,0,0,0,0
7,MISOLENA,Dazzy,xuxu,0,埃及艳后,杰士卡,特蕾莎,曼德拉,神医,达芬奇,达尔文,顾拜旦,大图书馆,姬路城,苏伊士运河,0,0,0,0,0,罗马大道,大教堂,0,0,0,0,0,0
8,GASOLENA,Terrance,fu1luo,1,布狄卡,圣女贞德,莎士比亚,卓别林,埃及艳后,伊莎贝拉,诺贝尔,顾拜旦,金字塔,丝绸之路,首飞,0,0,0,0,0,罗马大道,姬路城,互联网,0,0,0,0,0
9,LOSOLENA,Alpha775,ttaimmortal,1,孔子,巴巴罗萨,巴赫,无,孙子,萨拉丁,凯瑟琳大帝,乔布斯,雅典卫城,快餐连锁店,0,0,0,0,0,0,巨石阵,姬路城,远洋游轮,红十字会,0,0,0,0
10,DOSOLENA,SPLINTER,fu1luo,0,汉谟拉比,古藤堡,高迪,爱因斯坦,神医,巴巴罗萨,牛顿,乔布斯,金字塔,大学,克里姆林宫,互联网,0,0,0,0,大图书馆,紫禁城,曼哈顿计划,首飞,0,0,0,0
